Time (s),Temperature (°C)
2.83,20.9
6.11,20.87
9.44,20.87
12.72,23.74
16.0,24.11
19.33,23.37
22.61,29.49
25.94,32.03
29.21,32.98
32.54,33.53
35.81,33.83
39.14,34.03
42.41,34.2
45.69,34.2
49.02,32.91
52.3,31.76
55.63,30.98
58.9,30.31
62.23,29.73
65.51,29.19
68.79,28.68
72.13,28.21
75.4,27.77
78.68,27.43
82.01,27.02
85.29,26.68
88.61,26.38
91.89,26.11
95.17,25.9
98.51,25.63
101.79,25.4
105.07,25.23
108.4,25.06
111.68,24.89
115.01,24.72
118.3,24.58
121.59,24.48
124.88,24.35
128.17,24.21
131.51,24.08
134.8,24.01
138.09,23.87
141.38,23.81
144.67,23.7
147.96,23.6
151.26,23.54
154.56,23.43
157.9,23.37
161.19,23.33
164.48,23.27
167.77,23.2
171.06,23.13
174.35,23.06
177.69,23.0
180.95,22.93
184.28,22.89
187.57,22.86
190.85,22.83
194.18,22.79
197.47,22.76
200.75,22.72
204.08,22.69
207.35,22.62
210.68,22.59
213.96,22.56
217.24,22.52
220.57,22.49
223.85,22.45
227.18,22.42
230.46,22.39
233.74,22.35
237.07,22.35
240.35,22.32
243.67,22.29
246.95,22.25
250.23,22.22
253.56,22.18
256.84,22.15
260.16,22.15
263.44,22.12
266.76,22.0
270.04,22.05
273.32,22.01
276.65,22.01
279.93,21.98
283.26,21.95
286.54,21.91
289.82,21.91
293.15,21.91
296.43,21.88
299.71,21.88
303.04,21.85
306.32,21.81
309.65,21.81
312.93,21.78
316.21,21.78
319.54,21.74
322.82,21.74
326.11,21.71
5875.08,22.15
5875.13,22.15
5875.18,22.15
5875.23,22.15
5875.28,22.15
5875.33,22.15
5875.38,22.15
5875.44,22.15
5875.49,22.15
5875.55,22.15
5875.6,22.15
5875.65,22.15
5875.71,22.15
5875.76,22.15
5875.81,22.15
5875.86,22.15
5875.91,22.15
5875.96,22.15
5876.01,22.15
5876.06,22.15
5876.12,22.15
5876.17,22.15
5876.22,22.15
5876.27,22.15
5876.32,22.15
5876.38,22.15
5876.43,22.15
5876.48,22.15
5876.54,22.15
5876.59,22.15
5876.64,22.15
5876.69,22.15
5876.74,22.15
5876.79,22.15
5876.84,22.15
5876.89,22.15
5876.94,22.15
5876.99,22.15
5877.04,22.15
5877.1,22.15
5877.15,22.15
5877.2,22.15
5877.25,22.15
5877.3,22.15
5877.35,22.15
5877.4,22.15
5877.45,22.15
5877.5,22.15
5877.55,22.15
5877.6,22.15
5877.65,22.15
5877.71,22.15
5877.76,22.15
5877.81,22.15
5877.86,22.15
5877.91,22.15
5877.96,22.15
5878.01,22.15
5878.06,22.15
5878.11,26.88
