Time (s),Temperature (°C)
2.8,29.56
6.13,29.7
9.41,29.9
12.69,29.86
16.01,29.86
19.29,29.9
22.63,29.93
25.91,29.97
29.18,30.1
32.51,30.27
35.78,30.41
39.11,30.14
42.39,30.2
45.71,30.75
49.0,30.78
52.29,30.61
55.62,30.61
58.9,30.47
62.18,30.64
65.51,30.98
68.8,29.97
72.09,28.51
75.42,27.43
78.69,26.61
82.02,25.94
85.29,25.4
88.57,24.96
91.89,24.55
95.17,24.28
98.5,24.04
101.77,23.87
105.1,23.77
108.37,23.67
111.7,23.6
114.97,23.54
118.3,23.47
121.58,23.43
124.87,23.37
128.2,23.3
131.49,23.23
134.77,23.13
138.06,23.1
141.35,23.0
144.68,22.96
147.97,22.89
151.26,22.83
154.55,22.79
157.89,22.72
161.18,22.66
164.46,22.59
167.74,22.56
171.07,22.52
174.35,22.49
177.68,22.45
180.96,22.39
184.24,22.35
187.53,22.32
190.86,22.29
194.14,22.22
197.46,22.18
200.74,22.15
204.06,22.12
207.34,22.08
210.66,22.01
213.94,21.98
217.27,21.95
220.54,21.91
223.86,21.88
227.14,21.85
230.46,21.81
233.74,21.74
237.06,21.74
240.34,21.74
243.66,21.71
246.93,21.68
250.26,21.64
253.53,21.64
256.85,21.61
260.13,21.61
263.45,21.58
266.73,21.58
270.05,21.58
273.33,21.54
276.6,21.51
279.93,21.51
283.21,21.51
286.53,21.51
289.81,21.47
293.14,21.44
296.41,21.44
299.73,21.41
303.01,21.41
306.34,21.41
309.61,21.41
312.94,21.41
316.21,21.41
319.54,21.41
322.82,21.37
326.09,21.37
329.42,21.37
332.69,21.37
336.02,21.34
339.3,21.34
342.62,21.37
345.9,21.37
349.22,21.34
352.5,21.34
355.83,21.34
359.1,21.34
362.38,21.34
365.71,21.31
368.98,21.27
372.3,21.27
375.58,21.24
